pressure,freq,total_power_input,compressor_p_input,displacer_p_input,comp_disp,disp_comp_st,disp_amp,cold_temp,cooling_power,carnot
30.6,65,76.35,68.23,8.12,30.4,7.993,4.966,80.29711825,1.9454,8.93879405
30.6,65,85.50,74.99,10.51,34.7,8.02,4.98,80.29711825,2.4021,10.15881748
30.6,65,95.27,81.43,13.84,40,7.97,4.92,80.23837723,2.8386,11.15995725
30.6,65,107.83,89.66,18.17,45.6,7.95,4.88,80.23837723,3.0444,10.96533498
30.6,65,115.41,97.36,18.05,55.4,7.95,3.84,80.23837723,2.805,9.726052257
30.6,65,107.22,92.68,14.54,49.6,8,4,80.29711825,2.8724,10.45545748
30.6,65,98.03,86.94,11.09,44.8,8.02,4.02,80.29711825,2.7885,10.81046559
30.6,65,90.18,81.7,8.48,40.6,8.02,4.02,80.23837723,2.5917,10.66932211
30.6,65,80.35,74.66,5.69,35.5,8,4.02,80.23837723,2.2797,10.23927599
30.6,65,70.78,67.49,3.29,29.7,7.98,4,80.29711825,1.8221,9.025178633
30.6,55,74.31,72.57,1.74,39.8,7.93,3.94,80.35583616,1.9877,10.82611565
30.6,60,78.04,73.74,4.3,39.8,7.99,4.02,80.29711825,2.2797,10.97188059
30.6,65,86.50,78.8,7.7,40.2,7.96,3.94,80.23837723,2.4332,10.4298728
30.6,70,105.02,92.29,12.73,39.8,8.01,3.98,80.23837723,2.5754,9.560530103
30.6,65,106.49,89.44,17.05,45.1,7.979,4.792,80.29711825,2.67758,9.727531987
30.6,65,101.75,87.92,13.83,45.3,7.96,4.4,80.29711825,2.70707,10.19504583
30.6,65,97.07,86,11.07,45.1,7.97,3.98,80.23837723,2.61088,10.22021061
30.6,65,95.15,85.54,9.61,45.1,8.02,3.594,80.29711825,2.39425,9.563786805
30.6,65,91.55,82.86,8.69,45.2,7.96,3.192,80.17961317,2.1021,8.749323957
30.3,65,95.04,84.39,10.65,44.9,7.99,3.96,80.29711825,2.7384,10.86504489
30.3,65,72.52,63.37,9.15,44.9,6.98,4,80.29711825,2.1021,10.73583185
30.3,65,55.43,46.89,8.54,45.4,6.01,3.98,80.29711825,1.3452,8.901864657
30.3,65,42.07,33.52,8.55,45.4,5.02,3.98,80.29711825,0.4554,3.997062147
30.3,65,122.28,109.13,13.15,44.2,8.93,3.98,80.12082615,3.2574,10.25263844
30.3,65,95.86,87.2,8.66,40.1,8.01,4.04,59.45278621,0.7654,4.306766422
28.2,70,98.52,86.1,12.42,39.1,7.96,4.02,80.29711825,2.5116,9.920078691
28.2,67.5,92.52,81.35,11.17,41.2,7.97,4,80.29711825,2.48,10.1523436
28.2,65,83.26,74.86,8.4,40.7,8,4,80.4145309,2.4021,10.59530551
28.2,62.5,76.65,70.3,6.35,40.4,8.01,4.02,80.35583616,2.2644,10.67937019
28.2,60,72.04,67.44,4.6,40.1,8.01,4.02,80.35583616,2.1605,10.84684702
28.2,57.5,69.10,65.98,3.12,40,8,4,80.35583616,2.03,10.83426925
28.2,55,67.99,65.84,2.15,40.6,7.97,3.98,80.23837723,1.9317,10.90194334
28.2,60,99.98,85.6,14.38,59.7,7.99,4,80.35583616,2.496,9.772990617
28.2,60,94.56,82.5,12.06,55.4,8,4.02,80.23837723,2.5434,10.38016142
28.2,60,86.23,77.24,8.99,50.1,8,4,80.29711825,2.48,10.84489179
28.2,60,99.06,83.66,15.4,50.6,7.99,4.98,80.23837723,2.5754,10.12188811
28.2,60,90.15,78,12.15,45.1,8.01,5.02,80.4145309,2.48,10.48123419
28.2,62.5,94.86,79.92,14.94,45.3,8.01,4.98,80.23837723,2.5754,10.28221981
28.2,62.5,106.81,94.31,12.5,40,8.97,5,80.29711825,3.1856,11.15836214
28.2,60,102.62,92.64,9.98,40.5,8.97,5.02,80.29711825,3.0794,11.36247547
28.2,60,79.24,72.54,6.7,45.4,8,4,80.23837723,2.3712,11.0737724
28.2,60,71.99,67.39,4.6,40.2,8.01,4.02,80.29711825,2.1456,10.77934089
28.2,60,65.30,62.44,2.86,35.2,8.02,3.98,80.23837723,1.904,10.31294737
28.2,60,59.73,57.98,1.75,30.7,8.01,4.02,80.23837723,1.6125,9.378848228
28.2,60,91.29,77.88,13.41,45.2,8.02,5.2,80.35583616,2.2496,9.373203534
28.2,60,86.34,75.93,10.41,44.9,8.01,4.82,80.23837723,2.3405,10.19212174
28.2,60,81.77,73.8,7.97,44.8,8.02,4.4,80.29711825,2.3712,10.76006761
28.2,60,78.99,72.29,6.7,45.6,8.01,4,80.35583616,2.3405,10.94144088
28.2,60,75.75,70.21,5.54,45.2,8.01,3.62,80.23837723,2.1164,10.24421523
28.2,60,73.17,68.23,4.94,45,8.02,3.22,80.23837723,1.8221,9.11745442
28.2,60,103.82,95.4,8.42,44.7,9.02,4.06,80.29711825,3.0096,10.92829175
28.2,60,81.11,74.31,6.8,45.7,8.03,4.02,80.23837723,2.3556,10.71806315
28.2,60,60.90,55.24,5.66,45.2,7.02,4.04,80.29711825,1.6637,9.866278848
28.2,60,47.06,41.46,5.6,45.9,6.02,4.02,80.23837723,0.9797,7.478941407
28.2,60,37.35,31.34,6.01,45.8,5.01,4.08,80.23837723,0.1848,1.785553384
28.2,60,108.18,99.77,8.41,44.6,8.96,4.04,69.8516425,1.904,7.90077908
28.2,60,90.27,83.31,6.96,44.7,7.96,4.02,69.8516425,1.5872,7.770225827
28.2,60,66.83,61.07,5.76,45.2,7.12,4,69.78995924,1.0098,6.536768588
28.2,60,51.21,45.6,5.61,45.7,6.1,4.02,69.8516425,0.3904,3.279267274
28.2,60,33.29,28.01,5.28,44.7,5,4,90.3725105,0.5548,5.05252855
28.2,60,45.80,40.54,5.26,45.8,6.05,4.02,90.21193926,1.4396,9.457010536
28.2,60,59.54,54.46,5.08,44.8,7.1,3.98,90.3725105,2.3556,11.93128065
28.2,60,77.49,71.38,6.11,45,8,4,90.3725105,2.9925,11.90836248
28.2,60,102.21,94.1,8.11,44.7,9.08,4.06,90.3725105,3.705,11.52754555
28.2,60,95.45,87.74,7.71,44.9,9.01,3.98,99.35142825,4.6004,13.18468004
28.2,60,75.27,68.82,6.45,45.7,8.05,4.02,99.35142825,3.8606,13.73922416
28.2,60,57.88,52.15,5.73,45.9,7.08,4.04,99.25949816,3.0096,13.73173758
28.2,60,42.71,37.51,5.2,45,6.06,4.04,99.35142825,2.016,12.25076625
28.2,60,32.60,26.97,5.63,45.2,5.06,4.04,99.35142825,0.9797,7.856979614
28.2,60,29.55,24.25,5.3,45.1,5.05,4.02,120.1151507,1.8221,12.01120047
